,title,rating,num_ratings,price,currency,author,type,date
80,Sansibar oder der letzte Grund. Roman,4.1,339.0,11.49,€,Alfred Andersch,Taschenbuch,26. September 2006
81,Pillow Thoughts,4.7,12422.0,18.15,€,Courtney Peppernell,Taschenbuch,29. August 2017
82,"Zero to One: Notes on Start Ups, or How to Build the Future",4.4,22511.0,11.3,€,Blake Masters,Taschenbuch,4. Juni 2015
83,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.5,35750.0,5.49,€,Jen Sincero,Taschenbuch,13. Oktober 2016
84,Home Body,4.8,17813.0,10.31,€,Rupi Kaur,Taschenbuch,17. November 2020
85,"Schwarzer Mond über Soho: Roman (Die Flüsse-von-London-Reihe (Peter Grant), Band 2)",4.5,2340.0,11.45,€,Ben Aaronovitch,Taschenbuch,1. Juli 2012
86,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,4.6,80478.0,6.89,€,Robert T. Kiyosaki,Taschenbuch,11. April 2017
87,"Way of Kings: Book One of the Stormlight Archive (The Stormlight Archive, 1)",4.8,34517.0,8.61,€,Brandon Sanderson,Taschenbuch,24. Mai 2011
88,Do Androids Dream Of Electric Sheep?: The inspiration behind Blade Runner and Blade Runner 2049 (GOLLANCZ S.F. S.),4.4,17775.0,9.0,€,Philip K. Dick,Taschenbuch,8. März 2007
89,Getting to Yes: Negotiating an agreement without giving in,4.5,8319.0,9.31,€,Roger Fisher,Taschenbuch,7. Juni 2012
90,"Act Like a Lady, Think Like a Man, Expanded Edition: What Men Really Think About Love, Relationships, Intimacy, and Commitment",4.6,8471.0,11.49,€,Steve Harvey,Taschenbuch,3. Juni 2014
91,"Nordlicht - Die Tote am Strand: Kriminalroman (Boisen & Nyborg ermitteln, Band 1)",4.4,1478.0,10.54,€,Anette Hinrichs,Taschenbuch,15. April 2019
92,A Raisin in the Sun: With an Introd. by Robert Nemiroff,4.3,6049.0,1.98,€,Lorraine Hansberry,Taschenbuch,29. November 2004
93,Why We Sleep: The New Science of Sleep and Dreams,4.7,24188.0,10.24,€,Matthew Walker,Taschenbuch,4. Januar 2018
94,"George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire Series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons",4.6,37461.0,7.77,€,George R. R. Martin,Taschenbuch,22. Mai 2012
95,"Untamed: Stop Pleasing, Start Living: THE NO.1 SUNDAY TIMES BESTSELLER",4.5,13319.0,13.4,€,Glennon Doyle,Taschenbuch,12. März 2020
